,id,port_from,port_to,kg,lat_from,lon_from,lat_to,lon_to,date
146,497454,Danzig,Amsterdam,171.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1747-05-12 00:00:00
147,497506,Danzig,Amsterdam,50.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1747-05-17 00:00:00
148,497739,Danzig,Amsterdam,61.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1742-05-31 00:00:00
149,497795,Danzig,Amsterdam,135.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1745-10-25 00:00:00
150,497874,Danzig,Amsterdam,160.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1745-11-19 00:00:00
151,497899,Danzig,Amsterdam,31.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1745-12-07 00:00:00
152,498313,Danzig,Amsterdam,100.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1738-06-16 00:00:00
153,498829,Danzig,Amsterdam,22.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1742-06-04 00:00:00
154,498845,Danzig,Amsterdam,76.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1742-06-04 00:00:00
155,501410,Danzig,Amsterdam,61.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1755-12-07 00:00:00
156,501755,Danzig,Amsterdam,113.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1738-06-23 00:00:00
157,502756,Danzig,Amsterdam,70.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1738-04-20 00:00:00
158,506108,Danzig,Amsterdam,55.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1741-08-31 00:00:00
159,506310,Danzig,Amsterdam,1080.405,54.36119285,18.62860883362069,52.3727598,4.8936041,1747-08-24 00:00:00
160,506398,Danzig,Amsterdam,37.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1746-04-28 00:00:00
161,507450,Danzig,Amsterdam,73.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1746-06-05 00:00:00
162,507676,Danzig,Amsterdam,18.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1747-04-29 00:00:00
163,507858,Danzig,Amsterdam,198.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1746-06-20 00:00:00
164,509554,Danzig,Amsterdam,40.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1742-09-27 00:00:00
165,510015,Danzig,Amsterdam,90.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1760-11-11 00:00:00
166,510480,Danzig,Amsterdam,63.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1741-10-20 00:00:00
167,510881,Danzig,Amsterdam,100.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1746-07-16 00:00:00
168,510888,Konigsberg,Amsterdam,110.0,54.710128,20.5105838,52.3727598,4.8936041,1761-11-05 00:00:00
169,511032,Danzig,Amsterdam,11.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1743-09-25 00:00:00
170,511406,Danzig,Amsterdam,9.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1733-10-25 00:00:00
171,512184,Danzig,Amsterdam,40.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1738-04-17 00:00:00
172,513009,Danzig,Amsterdam,30.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1733-12-04 00:00:00
173,513356,Danzig,Amsterdam,116.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1743-11-19 00:00:00
174,513821,Danzig,Amsterdam,76.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1737-04-04 00:00:00
175,513879,Danzig,London,137.0,54.36119285,18.62860883362069,51.5073219,-0.1276474,1760-11-30 00:00:00
176,513986,Danzig,Amsterdam,22.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1739-04-02 00:00:00
177,514140,Danzig,Amsterdam,140.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1738-09-15 00:00:00
178,515258,Konigsberg,London,16.0,54.710128,20.5105838,51.5073219,-0.1276474,1740-09-04 00:00:00
179,518044,Danzig,Amsterdam,76.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1750-04-09 00:00:00
180,519194,Konigsberg,Amsterdam,37.5,54.710128,20.5105838,52.3727598,4.8936041,1735-05-09 00:00:00
181,521215,Danzig,London,5762.736,54.36119285,18.62860883362069,51.5073219,-0.1276474,1735-05-25 00:00:00
182,522427,Danzig,Amsterdam,45.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1746-12-06 00:00:00
183,522701,Danzig,Amsterdam,122.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1732-04-30 00:00:00
184,522931,Danzig,Amsterdam,67.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1731-07-26 00:00:00
185,523212,Danzig,Amsterdam,54.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1732-05-31 00:00:00
186,523275,Danzig,Amsterdam,100.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1733-04-23 00:00:00
187,523486,Danzig,Emden,80.0,54.36119285,18.62860883362069,53.3670541,7.2058304,1737-05-02 00:00:00
188,523767,Danzig,Amsterdam,82.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1737-05-09 00:00:00
189,523806,Danzig,Amsterdam,50.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1737-05-09 00:00:00
190,523822,Konigsberg,Amsterdam,17.0,54.710128,20.5105838,52.3727598,4.8936041,1733-05-15 00:00:00
191,524063,Danzig,Amsterdam,47.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1737-05-08 00:00:00
192,525353,Danzig,Amsterdam,205.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1739-08-24 00:00:00
193,526373,Konigsberg,Amsterdam,35.0,54.710128,20.5105838,52.3727598,4.8936041,1739-09-07 00:00:00
194,526919,Danzig,Amsterdam,29934.212,54.36119285,18.62860883362069,52.3727598,4.8936041,1739-09-13 00:00:00
195,528172,Danzig,Amsterdam,189.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1739-05-04 00:00:00
196,529412,Danzig,Amsterdam,11.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1739-03-29 00:00:00
197,529637,Danzig,Amsterdam,90.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1750-06-26 00:00:00
198,529881,Konigsberg,Amsterdam,2.5,54.710128,20.5105838,52.3727598,4.8936041,1739-04-21 00:00:00
199,530506,Danzig,Amsterdam,28173.376,54.36119285,18.62860883362069,52.3727598,4.8936041,1736-05-05 00:00:00
200,530785,Danzig,Amsterdam,138.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1732-04-13 00:00:00
201,531574,Danzig,Amsterdam,22.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1732-04-14 00:00:00
202,531664,Danzig,Amsterdam,52.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1732-04-20 00:00:00
203,531718,Danzig,Amsterdam,23691.248,54.36119285,18.62860883362069,52.3727598,4.8936041,1732-04-24 00:00:00
204,531785,Danzig,Amsterdam,45.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1736-05-19 00:00:00
205,532880,Konigsberg,Sundet,195.0,54.710128,20.5105838,59.1548689,10.0506652,1730-05-13 00:00:00
206,533272,Danzig,Amsterdam,25.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1732-11-10 00:00:00
207,533335,Danzig,Amsterdam,22.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1731-12-13 00:00:00
208,533754,Danzig,Amsterdam,90.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1750-10-16 00:00:00
209,533904,Danzig,Amsterdam,49.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1731-04-27 00:00:00
210,534163,Danzig,Amsterdam,65.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1731-05-04 00:00:00
211,534387,Danzig,Amsterdam,70.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1731-05-09 00:00:00
212,535505,Danzig,Amsterdam,97.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1735-07-17 00:00:00
213,538519,Danzig,Amsterdam,140.5,54.36119285,18.62860883362069,52.3727598,4.8936041,1737-12-13 00:00:00
214,539007,Danzig,Amsterdam,61.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1731-10-07 00:00:00
215,539062,Danzig,Amsterdam,15.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1731-10-07 00:00:00
216,539564,Danzig,Amsterdam,169.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1746-11-03 00:00:00
217,539865,Danzig,Amsterdam,110.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1746-11-11 00:00:00
218,542168,Rouan,Petersburg,55.0,49.4404591,1.0939658,59.917857350000006,30.380619357025516,1736-07-16 00:00:00
219,542500,Danzig,Amsterdam,110.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1732-08-18 00:00:00
220,543136,Danzig,Amsterdam,20.0,54.36119285,18.62860883362069,52.3727598,4.8936041,1731-11-09 00:00:00
221,543635,Konigsberg,London,50.0,54.710128,20.5105838,51.5073219,-0.1276474,1727-01-20 00:00:00
