"id_doorvaart";"dag";"maand";"jaar";"volgnummer";"schipper_voornamen";"schipper_patroniem";"schipper_tussenvoegsel";"schipper_achternaam";"schipper_plaatsnaam";"soort_korting";"korting_muntsoort1";"korting_bedrag1";"korting_muntsoort2";"korting_bedrag2";"korting_muntsoort3";"korting_bedrag3";"subtotaal1_muntsoort1";"subtotaal1_bedrag1";"subtotaal1_muntsoort2";"subtotaal1_bedrag2";"subtotaal1_muntsoort3";"subtotaal1_bedrag3";"subtotaal2_muntsoort1";"subtotaal2_bedrag1";"subtotaal2_muntsoort2";"subtotaal2_bedrag2";"subtotaal2_muntsoort3";"subtotaal2_bedrag3";"totaal_muntsoort1";"totaal_bedrag1";"totaal_muntsoort2";"totaal_bedrag2";"totaal_muntsoort3";"totaal_bedrag3";"totaal_muntsoort4";"totaal_bedrag4";"totaal_muntsoort5";"totaal_bedrag5";"privilege";"opmerking_bron";"opmerking_invoerder";"naam_invoerder";"datum_opgevoerd";"dirnummer";"tonnage";"belasting_korting";"hulp";"hulp1";"hulp2"
"586444";"29";"5";"1728";"97";"John";"";"";"Marlisch";"Dumbar";"Afgaar for skipper";"Daler";"1";"Skilling";"12";"";"";"Daler";"34";"Skilling";"12";"";"";"Daler";"33";"";"";"";"";"Daler";"37";"";"";"";"";"";"";"";"";"";"";"";"";"27-07-10";"192";"";"";"";"";" "
"590036";"16";"3";"1725";"4";"Sybrand";"";"";"Andersen";"Kiøbenhafn";"";"";"";"";"";"";"";"Daler";"18 1/2";"Skilling";"18";"";"";"";"";"";"";"";"";"Daler";"22 1/2";"Skilling";"18";"";"";"";"";"";"";"";"Stuk Deense tekst";"";"";"30-07-10";"188";"";"";"";"";" "
"653272";"20";"8";"1692";"213";"Pieter";"Cornelissen";"";"Bomys";"Venhuysen";"";"";"";"";"";"";"";"Daler";"25 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"Daler";"113 1/2";"Skilling";"12";"";"";"";"";"";"";"";"Stuk Deense tekst";"";"";"17-09-10";"156";"";"";"";"";" "
"665502";"3";"7";"1708";"230";"Jochim";"";"";"Kruger";"Colberg";"Afgaar for skipper";"Daler";"1";"";"";"";"";"Daler";"34";"Skilling";"12";"";"";"Daler";"33";"Skilling";"12";"";"";"Daler";"33 1/2";"Skilling";"12";"";"";"";"";"";"";"";"VEB";"";"";"27-09-10";"172";"";"";"";"";" "
"1251752";"11";"8";"1829";"525";"M.";"";"";"Andersen";"Kjøbenhavn";"Føring";"Daler";"1 1/2";"Skilling";"7";"";"";"Daler";"43 1/2";"Skilling";"13";"";"";"Daler";"42";"Skilling";"6";"";"";"Daler";"46";"Skilling";"6";"";"";"";"";"";"";"";"";"";"";"29-11-11";"314";"";"";"";"";" "
"1326829";"8";"11";"1838";"917";"J. C.";"";"";"Glad";"Holbeck";"Føring";"Daler";"6 1/2";"Skilling";"19";"";"";"Daler";"174 1/2";"Skilling";"7";"";"";"Daler";"167 1/2";"Skilling";"12";"";"";"Daler";"171 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"";"";"26-01-12";"331";"";"";"";"";" "
"1735701";"11";"11";"1732";"318";"Martin";"";"";"Runge";"Colberg";"";"";"";"";"";"";"";"Daler";"21 1/2";"Skilling";"12";"";"";"";"";"";"";"";"";"Rosenobel";"1";"Daler";"24";"Skilling";"12";"";"";"";"";"";"";"";"";"28-03-13";"198";"";"";"";"";" "
"1747528";"11";"5";"1722";"67";"Jan";"";"";"Brandaris";"Vliel.";"Afgaar for skipper";"Daler";"7";"Skilling";"12";"";"";"Daler";"185";"Skilling";"6";"";"";"Daler";"177 1/2";"Skilling";"18";"";"";"Daler";"181 1/2";"Skilling";"18";"";"";"";"";"";"";"";"Eerste optelling 37 Daalder en 6 Skilling";"";"";"16-04-13";"184";"";"";"512";"";" "
